notification_id,admin_code,ascii_name,latitude,longitude,population
B14A7B8059D9C055954C92674CE60032,IT-GE,Genova,44.4056,8.9463,583601
B14A7B8059D9C055954C92674CE60032,IT-RE,Parma,44.8015,10.3279,194417
B14A7B8059D9C055954C92674CE60032,IT-RE,Ferrara,44.8381,11.6198,132009
B14A7B8059D9C055954C92674CE60032,IT-RE,Bologna,44.4949,11.3426,388367
B14A7B8059D9C055954C92674CE60032,IT-VR,Verona,45.4384,10.9916,257353
B14A7B8059D9C055954C92674CE60032,IT-PN,Maniago,46.1651,12.7066,11744
B14A7B8059D9C055954C92674CE60032,IT-MI,Milano,45.4642,9.1900,1352000
